id;overall_category;zone_category;zone_name;name;address;Google map link;Cuisine;Category;More Filters;lat;lon
123;"Europe ";"Germany ";Berlin;"Aroma ";Kantstraße 35, 10625 Berlin, Germany;https://www.google.com/maps/place/Aroma/@52.5063909,13.3133619,17z/data=!3m1!4b1!4m5!3m4!1s0x47a850e3c55aec37:0xb5520e4f3641de65!8m2!3d52.5063909!4d13.3155559;;;;"52.506383";"13.3110679"
124;"Europe ";"Germany ";Berlin;"Wok Show ";Greifenhagener Str. 31, 10437 Berlin, Germany;https://www.google.com/maps/place/Wok+Show/@52.5519534,13.4170628,17z/data=!3m1!4b1!4m5!3m4!1s0x47a85207d76879f7:0x97f934f1fdbb2a0f!8m2!3d52.5519471!4d13.4191593;;;;"52.5519154";"13.4191755"
125;"Europe ";"Germany ";Berlin;"Sasaya ";Lychener Str. 50, 10437 Berlin, Germany;https://www.google.com/maps/place/Sasaya/@52.5443009,13.4163957,17z/data=!3m1!4b1!4m5!3m4!1s0x47a84dff7fc65425:0xa5112b5e44056103!8m2!3d52.5442878!4d13.4186297;;;;"52.5443461";"13.4184726"
126;"Europe ";"Germany ";Berlin;"Doyum ";Admiralstraße 36-37, 10999 Berlin, Germany;https://www.google.com/maps/place/Doyum+Restaurant/@52.4982593,13.4151449,17z/data=!3m1!4b1!4m5!3m4!1s0x47a84fccb160f273:0x37b16cf363810444!8m2!3d52.4982593!4d13.4173389;;;;"52.497836";"13.4168471"
127;"Europe ";"Germany ";Berlin;"Mustafa's Gemüse Kebap ";Mehringdamm 32, 10961 Berlin, Germany;https://www.google.com/maps/place/Mustafa's+Gem%C3%BCse+Kebap/@52.4939874,13.38583,17z/data=!3m1!4b1!4m5!3m4!1s0x47a85029195b7e73:0xa934dc3108889d2f!8m2!3d52.4939874!4d13.388024;;;;"52.4937889";"13.38755642"
128;"Europe ";"Germany ";Berlin;Tadim;"Adalbertstraße 98, 10999 Berlin, Germany ";https://www.google.com/maps/place/Tadim/@52.499918,13.4232076,16z/data=!4m5!3m4!1s0x47a84e3367784c75:0x2f86e318cb32362c!8m2!3d52.4997229!4d13.4177424;;;;"52.4998935";"13.4176119"
129;"Europe ";"Germany ";Berlin;K'Ups Gemüsekebap;Kastanienallee 102, 10435 Berlin, Germany;https://www.google.com/maps/place/K'Ups+Gem%C3%BCsekebap/@52.5398109,13.4091224,17z/data=!3m1!4b1!4m5!3m4!1s0x47a851ff034c0cb9:0xcc0eea070ba18b04!8m2!3d52.5398139!4d13.4112785;;;;"52.539797";"13.411309"
130;"Europe ";"Germany ";Berlin;Gel Gör;Kottbusser Damm 80, 10967 Berlin, Germany;https://www.google.com/maps/place/Gel+G%C3%B6r/@52.4917213,13.4210537,17z/data=!3m1!4b1!4m5!3m4!1s0x47a84fc9fd8f1d07:0x60b363fe5d636466!8m2!3d52.4917166!4d13.4231941;;;;"52.4917269";"13.4233652"
131;"Europe ";"Germany ";Berlin;Güllü Lamachun;Perleberger Str. 56, 10559 Berlin, Germany;https://www.google.com/maps/place/G%C3%BCll%C3%BC+Lahmacun/@52.53203,13.3479959,17z/data=!3m1!4b1!4m5!3m4!1s0x47a85175f5df14c5:0x5a6d0ef3049c1b0b!8m2!3d52.53203!4d13.3501899;;;;"52.5320695";"13.3500236"
132;"Europe ";"Germany ";Berlin;Kumru;Kottbusser Damm 77, 10967 Berlin, Germany;https://www.google.com/maps/place/Kumru/@52.5320248,13.315074,13z/data=!4m9!1m2!2m1!1skumru!3m5!1s0x47a84fb619b67aeb:0x39ed50da714fe3a5!8m2!3d52.4909359!4d13.4237755!15sCgVrdW1ydVoHIgVrdW1ydZIBFGZhc3RfZm9vZF9yZXN0YXVyYW50mgEkQ2hkRFNVaE5NRzluUzBWSlEwRm5TVVJMZW1NMmIxOTNSUkFC4AEA;;;;"52.4908827";"13.4236706"
133;"Europe ";"Germany ";Berlin;Örnek Lahmacun Evi;Prinzenallee 80-82, 13357 Berlin, Germany;https://www.google.com/maps/place/%C3%96rnek+Lahmacun+Evi/@52.5320248,13.315074,13z/data=!4m5!3m4!1s0x47a852248db77049:0x84fc4bd2139313e1!8m2!3d52.5541828!4d13.3827629;;;;"52.5529286";"13.3822707"
134;"Europe ";"Germany ";Berlin;Imren Grill;Boppstraße 10, 10967 Berlin, Germany;https://www.google.com/maps/place/Imren+Grill/@52.4904809,13.4207862,17z/data=!3m2!4b1!5s0x47a84fb6216b3461:0x764990e4068288cd!4m5!3m4!1s0x47a84fb620ea6bd1:0xb32051f2f92d6aa6!8m2!3d52.4904809!4d13.4229802;;;;"52.4905069";"13.4228946"
135;"Europe ";"Germany ";Berlin;Guten dag;Unter den Gleisen, Schönhauser Allee 71-72, 10437 Berlin, Germany;https://www.google.com/maps/place/Guten+Dag+%E2%80%93+Korean+Fried+Chicken/@52.5482797,13.411318,17z/data=!3m1!4b1!4m5!3m4!1s0x47a85206b01a35b3:0xd77e391ecf248a5f!8m2!3d52.5482797!4d13.413512;;;;"52.5484991";"13.4133794"
136;"Europe ";"Germany ";Berlin;Habibi;Goltzstraße 24, 10781 Berlin, Germany;https://www.google.com/maps/place/Habibi/@52.4966438,13.3514944,17z/data=!3m2!4b1!5s0x47a8504f19a1d9ed:0xe0aa9af580988ac9!4m5!3m4!1s0x47a8504f198e469f:0x540abd4a863cf003!8m2!3d52.4966438!4d13.3536884;;;;"52.4967013";"13.3537909"
137;"Europe ";"Germany ";Berlin;Jones;Goltzstraße 3, 10781 Berlin, Germany;https://www.google.com/maps/place/JONES+ice+cream/@52.4966438,13.3514944,17z/data=!4m5!3m4!1s0x47a85046a1bc378d:0xf4aa0aa5478d5e9a!8m2!3d52.4904852!4d13.3534154;;;;"52.490444";"13.3534705"
138;"Europe ";"Germany ";Berlin;RISA;Hardenbergpl. 2, 10623 Berlin, Germany;https://www.google.com/maps/place/Risa+Chicken/@52.5064622,13.3314198,17z/data=!3m2!4b1!5s0x47a850fe49879835:0xf81b4fd98ba2cf8!4m5!3m4!1s0x47a850fe4a74e057:0x817234759c3928fa!8m2!3d52.5064622!4d13.3336138;;;;"52.506266";"13.333369"
139;"Europe ";"Germany ";Berlin;Curry 36;Mehringdamm 36, 10961 Berlin, Germany;https://www.google.com/maps/place/Curry+36/@52.4934441,13.3854882,17z/data=!3m1!4b1!4m5!3m4!1s0x47a850291fffa7c9:0x84f86b5c641fdb04!8m2!3d52.493444!4d13.3876799;;;;"52.4935584";"13.3877282"
140;"Europe ";"Germany ";Berlin;Companion;Weserstr. 166, 12045 Berlin, Germany;https://www.google.com/maps/place/Companion+Tea+%26+Coffee/@52.4834032,13.4390289,17z/data=!3m1!4b1!4m5!3m4!1s0x47a84f73b2ce9561:0xa1c47d7a7b85e1d3!8m2!3d52.4833852!4d13.4411407;;;;"52.4833713";"13.4411296"
141;"Europe ";"Germany ";Berlin;Rocket & Basil;Lützowstraße 22, 10785 Berlin, Germany;https://www.google.com/maps/place/rocket+%2B+basil/@52.5030596,13.3644376,17z/data=!3m1!4b1!4m5!3m4!1s0x47a85113182a6fad:0x20bc27bf433ac6fc!8m2!3d52.5030341!4d13.3665977;;;;"52.503036";"13.3665895"
142;"Europe ";"Germany ";Berlin;Bonanza Coffee Roasters;Adalbertstraße 70, 10999 Berlin, Germany;https://www.google.com/maps/place/Bonanza+Coffee+Roasters/@52.5030583,13.3490684,14z/data=!4m9!1m2!2m1!1sBonanza+Coffee!3m5!1s0x47a84e31446cec7b:0x2ac07dc4e40383f6!8m2!3d52.5041653!4d13.4203241!15sCg5Cb25hbnphIENvZmZlZSIDiAEBWhAiDmJvbmFuemEgY29mZmVlkgELY29mZmVlX3Nob3DgAQA;;;;"52.504519";"13.421405"
143;"Europe ";"Germany ";Berlin;"Sofi ";Sophienstraße 21, 10178 Berlin, Germany;https://www.google.com/maps/place/SOFI/@52.5030583,13.3490684,14z/data=!4m5!3m4!1s0x47a8514532b4d059:0x9ac8602e76a01b3c!8m2!3d52.5258408!4d13.400609;;;;"52.5258331";"13.4005876"
144;"Europe ";"Germany ";Berlin;Estelle Dining;Kopenhagener Str. 12A, 10437 Berlin, Germany;https://www.google.com/maps/place/Estelle+Dining/@52.5490746,13.4072016,17z/data=!3m1!4b1!4m5!3m4!1s0x47a853238c17ce23:0x77a560de13ddb592!8m2!3d52.5490759!4d13.4093959;;;;"52.549186";"13.409565"
145;"Europe ";"Germany ";Berlin;Julius;Gerichtstraße 31, 13347 Berlin, Germany;https://www.google.com/maps/place/Julius/@52.544983,13.3662838,17z/data=!3m1!4b1!4m5!3m4!1s0x47a851ba170b9db7:0xf51659ddd41d05cb!8m2!3d52.544983!4d13.3684778;;;;"52.5450133";"13.3684932"
146;"Europe ";"Germany ";Berlin;Barra;Okerstraße 2, 12049 Berlin, Germany;https://www.google.com/maps/place/Barra/@52.4743722,13.4247448,17z/data=!3m1!4b1!4m5!3m4!1s0x47a84f1a6edafd07:0xd69202b50b81a4ed!8m2!3d52.4743438!4d13.4269441;;;;"52.4743368";"13.4269746"
147;"Europe ";"Germany ";Berlin;ernst;Gerichtstraße 54, 13347 Berlin, Germany;https://www.google.com/maps/place/ernst/@52.5446886,13.3658265,17z/data=!3m1!4b1!4m5!3m4!1s0x47a85186ff78163d:0x37bdb7159cb7a8f6!8m2!3d52.5446473!4d13.3680189;;;;"52.54442025";"13.36798012"
148;"Europe ";"Germany ";Berlin;Lode & Stijn;Lausitzer Str. 25, 10999 Berlin, Germany;https://www.google.com/maps/place/Lode+%26+Stijn/@52.495131,13.4241561,17z/data=!3m1!4b1!4m5!3m4!1s0x47a84fb56e2fd275:0x1abfccab587fde1a!8m2!3d52.495131!4d13.4263501;;;;"52.4952296";"13.42641822"
149;"Europe ";"Germany ";Berlin;Mings;Tauentzienstraße 9-12, 10789 Berlin, Germany;https://www.google.com/maps/place/Ming+Dynastie+West+Berlin/@52.5047125,13.3352458,17z/data=!3m2!4b1!5s0x47a850559c69a03d:0x7edf0a3a4e7f97e0!4m5!3m4!1s0x47a850559f7b01b7:0xad47eec7f81c4916!8m2!3d52.5047125!4d13.3374398;;;;"52.5043712";"13.3374894"
150;"Europe ";"Germany ";Berlin;Lamazère Brasserie;Stuttgarter Pl. 18, 10627 Berlin, Germany;https://www.google.com/maps/place/Lamaz%C3%A8re+Brasserie/@52.505175,13.2983032,17z/data=!3m1!4b1!4m5!3m4!1s0x47a850dc3dc27707:0x5ae6298dee85c626!8m2!3d52.5051027!4d13.3005397;;;;"52.50515515";"13.30059021"
151;"Europe ";"Germany ";Berlin;Mrs. Robinsons;Pappelallee 29, 10437 Berlin, Germany;https://www.google.com/maps/place/Mrs+Robinson%E2%80%99s/@52.545311,13.4150698,17z/data=!3m1!4b1!4m5!3m4!1s0x47a8520094f1c457:0x4c4c5e0ed33bf0d2!8m2!3d52.545311!4d13.4172638;;;;"52.5453398";"13.4172192"
152;"Europe ";"Germany ";Berlin;Malafemmena Schöneberg;Hauptstraße 85, 12159 Berlin, Germany;https://www.google.com/maps/place/Malafemmena/@52.4737663,13.3361401,17z/data=!3m2!4b1!5s0x47a850701018c3f9:0xbad1706bbc2ec10d!4m5!3m4!1s0x47a85070119830bf:0xb9bc4da03a741c19!8m2!3d52.4737663!4d13.3383341;;;;"52.473708";"13.338295"
211;"Europe ";"Germany ";Munich;Tantris;Johann-Fichte-Straße 7, 80805 München, Germany;https://www.google.com/maps/place/Tantris/@48.169796,11.586145,17z/data=!3m1!4b1!4m5!3m4!1s0x479e75ca0a8821b5:0x2a229bc3d223efb0!8m2!3d48.169796!4d11.588339;;;;"48.1698298";"11.58835666"
212;"Europe ";"Germany ";Munich;Werneckhof Sigi Schelling;Werneckstraße 11, 80802 München, Germany;https://www.google.com/maps/place/Werneckhof+SIGI+SCHELLING/@48.1593003,11.5862123,17z/data=!3m1!4b1!4m5!3m4!1s0x479e751ace9e259b:0x4e405406b08816df!8m2!3d48.1593003!4d11.5884063;;;;"48.1592461";"11.5884646"
213;"Europe ";"Germany ";Munich;Theresa Grill;Theresienstraße 29, 80333 München, Germany;https://www.google.com/maps/place/Theresa+Grill/@48.147842,11.5733406,17z/data=!3m1!4b1!4m5!3m4!1s0x479e75ec5a62ab71:0xbe7213a71097ea76!8m2!3d48.1478132!4d11.5755536;;;;"48.1478754";"11.5754839"
214;"Europe ";"Germany ";Munich;Chez Fritz;Preysingstraße 20, 81667 München, Germany;https://www.google.com/maps/place/Chez+Fritz/@48.1321495,11.5921614,17z/data=!3m1!4b1!4m5!3m4!1s0x410901e5160c1819:0x7ca6ec1ba27cc871!8m2!3d48.1321526!4d11.5944602;;;;"48.1321143";"11.59432781"
215;"Europe ";"Germany ";Munich;Giorgia Trattoria;Weißenburger Str. 2, 81667 München, Germany;https://www.google.com/maps/place/Giorgia+Trattoria/@48.1284701,11.5944657,15z/data=!4m2!3m1!1s0x0:0x39de19737cbc4c1f?sa=X&ved=2ahUKEwjp4K_nqcv6AhWn8IUKHa8nAS4Q_BJ6BAg_EAU;;;;"48.12844675";"11.59446495"
216;"Europe ";"Germany ";Munich;"M’Uniqo Rooftop Bar ";Leopoldstraße 170, 80804 München, Germany;https://www.google.com/maps/place/M'Uniqo+Rooftop+Bar/@48.1715598,11.5842429,17z/data=!3m1!4b1!4m5!3m4!1s0x479e755dfe6f5349:0x3ba8beeb09a52b5!8m2!3d48.1715598!4d11.5864369;;;;"48.171526";"11.586379"
217;"Europe ";"Germany ";Munich;Dinatale Cafe;Elisabethstraße 2, 80796 München, Germany;https://www.google.com/maps/place/Dinatale+Cafe/@48.1579161,11.5716803,17z/data=!3m1!4b1!4m5!3m4!1s0x479e75c3a91142b5:0x52a70de02f78483a!8m2!3d48.1578773!4d11.5738348;;;;"48.1579757";"11.57373803"
218;"Europe ";"Germany ";Munich;Schoko.Laden;Prannerstraße 5, 80333 München, Germany;https://www.google.com/maps/place/Schoko.Laden/@48.1408749,11.5739128,15z/data=!4m5!3m4!1s0x0:0xa8ecacbff17b7c80!8m2!3d48.1408749!4d11.5739128;;;;"48.140928";"11.5736807"
219;"Europe ";"Germany ";Munich;Cochinchina;Kaiserstraße 28, 80801 München, Germany;https://www.google.com/maps/place/Cochinchina/@48.1611614,11.5798995,17z/data=!3m2!4b1!5s0x479e75c704d84dab:0x355a92cec29edcf0!4m5!3m4!1s0x479e75c704db2501:0x36636c4f92abbfa0!8m2!3d48.1611614!4d11.5820935;;;;"48.1611217";"11.58210204"
220;"Europe ";"Germany ";Munich;Viktualien Markt;Viktualienmarkt 3, 80331 München, Germany;https://www.google.com/maps/place/Victuals+Market/@48.1351143,11.5740609,17z/data=!3m1!4b1!4m5!3m4!1s0x479e758abf64ec17:0x29f6ac8946882cc1!8m2!3d48.1351143!4d11.5762549;;;;"48.13566975";"11.57706884"
311;"Europe ";France;"Paris ";"Delicatessen Place ";"5 Rue Jean-Pierre Timbaud, 75011, Paris, France ";https://www.google.com/maps/place/5+Rue+Jean-Pierre+Timbaud,+75011+Paris/@48.8665157,2.3340766,14z/data=!4m5!3m4!1s0x47e66e07ea2433ff:0xa21d07be427569f2!8m2!3d48.8649843!4d2.3663977;;;;"48.8648732";"2.3663691"
312;"Europe ";France;"Paris ";"Le Doyenne ";5 Rue Saint-Antoine, 91770 Saint-Vrain, France;https://www.google.com/maps/place/Le+Doyenn%C3%A9/@48.5385121,2.3216447,17z/data=!3m1!4b1!4m5!3m4!1s0x47e5dbba1372d715:0xcfe688400770e68!8m2!3d48.5385121!4d2.3238387;;;;"48.537316";"2.326352"
313;"Europe ";France;"Paris ";Le Rigmarole;10 Rue du Grand Prieuré, 75011 Paris, France;https://www.google.com/maps/place/Le+Rigmarole/@48.8649843,2.3642037,17z/data=!4m5!3m4!1s0x47e66dfd379eaaab:0x7c2a6d46d351e04!8m2!3d48.8651356!4d2.3691118;;;;"48.8651614";"2.3690463"
314;"Europe ";France;"Paris ";Chez Marius;11 Rue de Chabrol, 75010 Paris, France;https://www.google.com/maps/place/Chez+Marius/@48.8765393,2.3527575,17z/data=!3m1!4b1!4m5!3m4!1s0x47e66e6d29455555:0x50726a8eb0d86bd1!8m2!3d48.8765195!4d2.3549451;;;;"48.8765613";"2.354928"
315;"Europe ";France;"Paris ";Omusubi Gonbei;27 Rue des Petits Champs, 75001 Paris, France;https://www.google.com/maps/place/Omusubi+Gonbei/@48.8666228,2.3350026,17z/data=!3m1!4b1!4m5!3m4!1s0x47e66e3b2b80bbfd:0x2a1f40f488ed785!8m2!3d48.8666069!4d2.3372547;;;;"48.8666451";"2.3371409"
316;"Europe ";France;"Paris ";"Juji-ya ";46 Rue Sainte-Anne, 75002 Paris, France;https://www.google.com/maps/place/juji+ya/@48.8666228,2.3350026,17z/data=!3m1!5s0x47e66e3ac3532a4b:0x651dab7b57583328!4m5!3m4!1s0x47e66e3ac2d88d29:0x3e1bfb0fcb9ab68f!8m2!3d48.8674389!4d2.3361722;;;;"48.8674547";"2.3361486"
317;"Europe ";France;"Paris ";Quinsou;33 Rue de l'Abbé Grégoire, 75006 Paris, France;https://www.google.com/maps/place/Quinsou/@48.8476986,2.3232956,17z/data=!3m1!4b1!4m5!3m4!1s0x47e671d215175b87:0xf545186799854f3e!8m2!3d48.8476934!4d2.3254759;;;;"48.8476463";"2.3254887"
318;"Europe ";France;"Paris ";"Oxte ";5 Rue Troyon, 75017 Paris, France;https://www.google.com/maps/place/Restaurant+Oxte/@48.8758634,2.2931161,17z/data=!3m1!4b1!4m5!3m4!1s0x47e66fec9ef54f09:0x28987af89bb7f499!8m2!3d48.8758994!4d2.2953807;;;;"48.8758951";"2.2954072"
319;"Europe ";France;"Paris ";"L'Ambroisie ";9 Pl. des Vosges, 75004 Paris, France;https://www.google.com/maps/place/L'Ambroisie/@48.8553396,2.3621601,17z/data=!3m1!4b1!4m5!3m4!1s0x47e671ffd6d9e42b:0x5ad576d2bc120abd!8m2!3d48.8553396!4d2.3643541;;;;"48.8552904";"2.3644229"
320;"Europe ";France;"Paris ";"Recoin ";60 Rue St Sabin, 75011 Paris, France;https://www.google.com/maps/place/Recoin/@48.8553396,2.3621601,17z/data=!4m5!3m4!1s0x47e66dc8c8c9349f:0xbc4821d2704e8801!8m2!3d48.8591315!4d2.3688529;;;;"48.8591081";"2.3688621"
321;"Europe ";France;"Paris ";New Saveurs d'Asie;11-29 promenade du Belvédère, 77200 Torcy, France;https://www.google.com/maps/place/New+Saveurs+d'Asie/@48.839978,2.651151,17z/data=!3m1!4b1!4m5!3m4!1s0x47e60548ac2a530d:0xc0fc4a23c73bb563!8m2!3d48.8399787!4d2.6533529;;;;"48.8409762";"2.6526609"
322;"Europe ";France;"Paris ";"Shang Palace ";10 Av. d'Iéna, 75116 Paris, France;https://www.google.com/maps/place/Shang+Palace/@48.863726,2.291206,17z/data=!3m1!4b1!4m5!3m4!1s0x47e66fe4393c740b:0x20a8356a5354308b!8m2!3d48.863726!4d2.2934;;;;"48.8637194";"2.2934262"
323;"Europe ";France;"Paris ";"Le Clarence ";31 Av. Franklin Delano Roosevelt, 75008 Paris, France;https://www.google.com/maps/place/Le+Clarence/@48.863726,2.291206,17z/data=!4m5!3m4!1s0x47e66fc531bc921f:0xa4dc0035fb67b21e!8m2!3d48.8674268!4d2.3097739;;;;"48.8674115";"2.3099361"
324;"Europe ";France;"Paris ";"Lao Siam ";49 Rue de Belleville, 75019 Paris, France;https://www.google.com/maps/place/Lao+Siam/@48.8731472,2.3787449,17z/data=!3m1!4b1!4m5!3m4!1s0x47e66de86025386f:0x7d5d8efbc71b47de!8m2!3d48.8731506!4d2.3809366;;;;"48.8731293";"2.3809014"
325;"Europe ";France;"Paris ";"Le Baratin ";3 Rue Jouye-Rouve, 75020 Paris, France;https://www.google.com/maps/place/Le+Baratin/@48.8731472,2.3787449,17z/data=!4m5!3m4!1s0x47e66de9a9e0010b:0x51b57f1f9576e92c!8m2!3d48.8730724!4d2.382841;;;;"48.8731152";"2.3828077"
326;"Europe ";France;"Paris ";"Sonny's Pizza ";5 Rue de la Fontaine au Roi, 75011 Paris, France;https://www.google.com/maps/place/Sonny%E2%80%99s+pizza/@48.8687435,2.3663856,17z/data=!3m1!4b1!4m5!3m4!1s0x47e66df5d0fcd56f:0x6481926158cc617!8m2!3d48.8687065!4d2.3685744;;;;"48.8686876";"2.3685488"
327;"Europe ";France;"Paris ";"Song Heng ";3 Rue Volta, 75003 Paris, France;https://www.google.com/maps/place/Song+Heng/@48.8647245,2.3545886,17z/data=!3m1!4b1!4m5!3m4!1s0x47e66e053640f84b:0x58f824fc69dda864!8m2!3d48.8647245!4d2.3567826;;;;"48.86472785";"2.356780874"
328;"Europe ";France;"Paris ";Double Dragon;52 Rue Saint-Maur, 75011 Paris, France;https://www.google.com/maps/place/Double+Dragon/@48.8647245,2.3545886,17z/data=!4m5!3m4!1s0x47e66daafecb7fe7:0xd7e98c3cecd22c7!8m2!3d48.8626015!4d2.3798916;;;;"48.8625854";"2.3798304"
329;"Europe ";France;"Paris ";"Le Grand Bol ";7 Rue de la Présentation, 75011 Paris, France;https://www.google.com/maps/place/Le+Grand+Bol+Belleville/@48.8626015,2.3776976,17z/data=!4m5!3m4!1s0x47e66de67ea2c929:0x100c209ed42cc0b3!8m2!3d48.8709427!4d2.3768518;;;;"48.8709525";"2.3768611"
330;"Europe ";France;"Paris ";Café des Ministères;83 Rue de l'Université, 75007 Paris, France;https://www.google.com/maps/place/Caf%C3%A9+des+Minist%C3%A8res/@48.8606098,2.3170092,17z/data=!3m1!4b1!4m5!3m4!1s0x47e66fd460b5e8ed:0x687b3e06d1e3fe45!8m2!3d48.8606098!4d2.3192032;;;;"48.8606527";"2.3192347"
331;"Europe ";France;"Paris ";"Tempilenti ";13 Rue Gerbier, 75011 Paris, France;https://www.google.com/maps/place/Tempilenti/@48.8588074,2.3838113,17z/data=!3m1!4b1!4m5!3m4!1s0x47e66d4e356931f3:0x256fa46d28cc992a!8m2!3d48.8588074!4d2.3860053;;;;"48.8587664";"2.3860342"
332;"Europe ";France;"Paris ";"Cuties ";10 Pass. des Panoramas, 75002 Paris, France;https://www.google.com/maps/place/Cuties/@48.871184,2.3396778,17z/data=!3m1!4b1!4m5!3m4!1s0x47e66f0ae6175fa9:0xab753ab89eea7f4a!8m2!3d48.871184!4d2.3418718;;;;"48.8711854";"2.3417484"
334;"Europe ";France;"Paris ";"Bar de la Croix Rouge ";2 Pl. Michel Debré, 75006 Paris, France;https://www.google.com/maps/place/Bar+de+la+Croix+Rouge/@48.8522531,2.3275876,17z/data=!3m2!4b1!5s0x47e671d6d98cb165:0xd870f43a7c536aa3!4m5!3m4!1s0x47e6711407de00a1:0x417edf42e0b7a03b!8m2!3d48.8522531!4d2.3297816;;;;"48.8522612";"2.3298188"
